Date : 2025-06-27 10:32:47
Directory : /home/xrmisal/Desktop/PHP/laravel-vue-survey
Total : 76 files,  12640 codes, 821 comments, 553 blanks, all 14014 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          5 |     10,152 |          0 |          5 |     10,157 |
| PHP        |         45 |      1,125 |        776 |        384 |      2,285 |
| vue        |         10 |        935 |         44 |        105 |      1,084 |
| JavaScript |          8 |        327 |          1 |         26 |        354 |
| Markdown   |          2 |         43 |          0 |         25 |         68 |
| XML        |          3 |         35 |          0 |          1 |         36 |
| HTML       |          1 |         13 |          0 |          1 |         14 |
| PostCSS    |          2 |         10 |          0 |          6 |         16 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                           |         76 |     12,640 |        821 |        553 |     14,014 |
| . (Files)                                                                                                                   |          6 |      8,394 |          0 |         28 |      8,422 |
| app                                                                                                                         |         12 |        248 |         67 |         76 |        391 |
| app/Http                                                                                                                    |          6 |        168 |         39 |         44 |        251 |
| app/Http/Controllers                                                                                                        |          3 |        107 |         17 |         29 |        153 |
| app/Http/Requests                                                                                                           |          2 |         40 |         17 |         11 |         68 |
| app/Http/Resources                                                                                                          |          1 |         21 |          5 |          4 |         30 |
| app/Models                                                                                                                  |          5 |         68 |         20 |         27 |        115 |
| app/Providers                                                                                                               |          1 |         12 |          8 |          5 |         25 |
| bootstrap                                                                                                                   |          2 |         19 |          2 |          5 |         26 |
| config                                                                                                                      |         12 |        511 |        622 |        217 |      1,350 |
| database                                                                                                                    |         11 |        284 |         73 |         52 |        409 |
| database/factories                                                                                                          |          1 |         25 |         14 |          6 |         45 |
| database/migrations                                                                                                         |          9 |        245 |         54 |         41 |        340 |
